品牌,屏幕尺寸,效能等级,分辨率,电视类型,品牌类型,观看距离,用户优先,产品渠道,覆盖组合个数
sharp,78英寸及以上,无效能等级,高清(1366×768),激光电视,商业显示品牌,不选,新品电视,线上专供,2
VIH,70-75英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
不选,65英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,58-60英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
sony,55英寸,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,48-50英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,39-45英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
konka,32英寸及以下,一级效能,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,32英寸及以下,无效能等级,4k超高清(3840×2160),量子点,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
sharp,78英寸及以上,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,1
VIH,70-75英寸,无效能等级,高清(1366×768),曲面,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,2
创维,65英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
酷开,65英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sharp,58-60英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,55英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
konka,48-50英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
酷开,39-45英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
tcl,70-75英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,不选,新品电视,线上专供,2
菲利普,32英寸及以下,无效能等级,全高清(1920×1080),教育电视,商业显示品牌,2m以下(≤32英寸),不选,线上专供,2
酷开,32英寸及以下,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,不选,1
VID^^,32英寸及以下,无效能等级,全高清(1920×1080),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
tcl,32英寸及以下,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,1
三星,不选,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
konka,78英寸及以上,无效能等级,高清(1366×768),不选,商业显示品牌,不选,新品电视,线上专供,2
haier,65英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
tcl,58-60英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VID^^,55英寸,无效能等级,全高清(1920×1080),人工智能,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,3
tcl,48-50英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,39-45英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VIH,不选,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
不选,78英寸及以上,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VIH,32英寸及以下,一级效能,高清(1366×768),超薄,合资品牌,2m以下(≤32英寸),新品电视,线上专供,2
菲利普,78英寸及以上,不选,高清(1366×768),商业显示,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,3
LG,70-75英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,1
MAXHUB,32英寸及以下,二级效能,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Hisense,65英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,58-60英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,55英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,48-50英寸,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sony,39-45英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,65英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,3.5m以上(70英寸以上),新品电视,线下同款,3
Hisense,78英寸及以上,无效能等级,8k超高清(7680×4320),智慧屏,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,3
LG,55英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
MAXHUB,32英寸及以下,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,不选,1
LG,不选,无效能等级,高清(1366×768),智慧屏,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,3
小米,70-75英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
tcl,58-60英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
haier,48-50英寸,一级效能,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
sharp,39-45英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
konka,32英寸及以下,不选,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,32英寸及以下,无效能等级,全高清(1920×1080),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,32英寸及以下,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,1
MAXHUB,不选,一级效能,高清(1366×768),激光电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,不选,4
sony,70-75英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
konka,65英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
konka,58-60英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,55英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
三星,48-50英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,39-45英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
konka,不选,三级效能,高清(1366×768),4K超清,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,3
VID^^,32英寸及以下,无效能等级,4k超高清(3840×2160),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
tcl,78英寸及以上,无效能等级,高清(1366×768),全面屏,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
MAXHUB,70-75英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
konka,65英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
三星,58-60英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
MAXHUB,55英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,48-50英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,不选,新品电视,线上专供,2
VID^^,39-45英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
酷开,70-75英寸,二级效能,高清(1366×768),量子点,商业显示品牌,不选,新品电视,线上专供,3
sharp,不选,三级效能,高清(1366×768),商业显示,不选,3.5m以上(70英寸以上),新品电视,线上专供,4
haier,78英寸及以上,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,65英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Hisense,58-60英寸,无效能等级,全高清(1920×1080),智慧屏,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,3
haier,55英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,48-50英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
LG,39-45英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
VIH,不选,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
三星,55英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
VIH,32英寸及以下,无效能等级,高清(1366×768),曲面,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,1
sony,78英寸及以上,无效能等级,4k超高清(3840×2160),全面屏,商业显示品牌,不选,新品电视,线上专供,3
三星,70-75英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
haier,65英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,58-60英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
sharp,48-50英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,不选,新品电视,线上专供,2
MAXHUB,39-45英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
三星,78英寸及以上,无效能等级,高清(1366×768),人工智能,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
Hisense,65英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VIH,32英寸及以下,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,1
创维,70-75英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,58-60英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,55英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,48-50英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
小米,39-45英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
konka,58-60英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
LG,32英寸及以下,无效能等级,全高清(1920×1080),激光电视,合资品牌,2m以下(≤32英寸),新品电视,线上专供,2
Panasonic,32英寸及以下,无效能等级,高清(1366×768),商业显示,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
MAXHUB,不选,二级效能,高清(1366×768),全面屏,互联网品牌,2m以下(≤32英寸),新品电视,线下同款,5
长虹,78英寸及以上,无效能等级,不选,OLED,商业显示品牌,不选,新品电视,线上专供,3
小米,70-75英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
创维,65英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,55英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VID^^,48-50英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
Hisense,39-45英寸,三级效能,高清(1366×768),不选,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,3
菲利普,39-45英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
MAXHUB,70-75英寸,三级效能,高清(1366×768),量子点,互联网品牌,2m-2.5m(33-45英寸),新品电视,线上专供,4
VID^^,70-75英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,2
酷开,78英寸及以上,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
三星,65英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sharp,58-60英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sony,55英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
LG,48-50英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
长虹,70-75英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sharp,58-60英寸,二级效能,全高清(1920×1080),超薄,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,4
Hisense,78英寸及以上,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
三星,65英寸,一级效能,高清(1366×768),商业显示,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,3
创维,不选,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
konka,55英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
konka,48-50英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
konka,39-45英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,不选,二级效能,高清(1366×768),人工智能,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,3
长虹,32英寸及以下,无效能等级,高清(1366×768),激光电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,1
Panasonic,32英寸及以下,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
小米,78英寸及以上,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,65英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,58-60英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
小米,55英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
MAXHUB,48-50英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
haier,39-45英寸,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,不选,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
LG,32英寸及以下,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VID^^,78英寸及以上,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
haier,70-75英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
tcl,65英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
tcl,58-60英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,55英寸,二级效能,高清(1366×768),商业显示,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
konka,48-50英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,39-45英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
sony,70-75英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,32英寸及以下,无效能等级,高清(1366×768),超薄,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,1
酷开,65英寸,三级效能,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
长虹,32英寸及以下,无效能等级,4k超高清(3840×2160),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,78英寸及以上,三级效能,高清(1366×768),激光电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,线下同款,4
LG,55英寸,无效能等级,高清(1366×768),商业显示,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,2
sony,不选,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VID^^,58-60英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
haier,48-50英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
酷开,39-45英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
三星,不选,无效能等级,高清(1366×768),大屏,互联网品牌,不选,新品电视,线上专供,3
VID^^,70-75英寸,无效能等级,高清(1366×768),超薄,国产品牌,2m以下(≤32英寸),新品电视,不选,3
VIH,不选,三级效能,高清(1366×768),量子点,商业显示品牌,3.5m以上(70英寸以上),不选,线上专供,4
不选,78英寸及以上,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,65英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
haier,58-60英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
酷开,55英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,3.5m以上(70英寸以上),不选,线上专供,3
三星,48-50英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sony,39-45英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
三星,32英寸及以下,不选,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
LG,32英寸及以下,无效能等级,高清(1366×768),人工智能,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,3
sony,78英寸及以上,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Hisense,70-75英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
konka,65英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
tcl,58-60英寸,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Hisense,55英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
华为,48-50英寸,二级效能,高清(1366×768),智慧屏,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线下同款,4
小米,39-45英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,70-75英寸,无效能等级,4k超高清(3840×2160),超薄,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,3
长虹,不选,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,78英寸及以上,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),京品电视,线上专供,2
酷开,65英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
LG,58-60英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,55英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
konka,48-50英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sharp,39-45英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
菲利普,32英寸及以下,无效能等级,高清(1366×768),全面屏,合资品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,不选,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,78英寸及以上,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
LG,70-75英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
三星,65英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,58-60英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VID^^,55英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,48-50英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
konka,39-45英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,不选,无效能等级,高清(1366×768),4K超清,合资品牌,3m-3.5m(56-65英寸),新品电视,线上专供,3
LG,32英寸及以下,三级效能,高清(1366×768),曲面,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
MAXHUB,58-60英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,78英寸及以上,二级效能,高清(1366×768),不选,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,3
三星,70-75英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
不选,65英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
MAXHUB,55英寸,无效能等级,全高清(1920×1080),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
酷开,48-50英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
三星,39-45英寸,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
不选,32英寸及以下,无效能等级,高清(1366×768),超薄,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,1
长虹,78英寸及以上,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,32英寸及以下,二级效能,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VID^^,不选,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
konka,70-75英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
Panasonic,65英寸,无效能等级,全高清(1920×1080),OLED,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,3
tcl,58-60英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,55英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sharp,48-50英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,39-45英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VIH,32英寸及以下,无效能等级,高清(1366×768),量子点,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,1
Hisense,不选,无效能等级,高清(1366×768),曲面,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
VID^^,32英寸及以下,无效能等级,高清(1366×768),激光电视,国产品牌,2m以下(≤32英寸),新品电视,线上专供,1
酷开,78英寸及以上,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
华为,70-75英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,不选,新品电视,线上专供,2
不选,65英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,58-60英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
haier,55英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sony,48-50英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
不选,39-45英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sony,32英寸及以下,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,不选,1
三星,不选,无效能等级,高清(1366×768),量子点,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
菲利普,32英寸及以下,无效能等级,高清(1366×768),商业显示,国产品牌,2m以下(≤32英寸),新品电视,线上专供,1
LG,58-60英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,不选,新品电视,线上专供,2
MAXHUB,70-75英寸,无效能等级,4k超高清(3840×2160),教育电视,商业显示品牌,3.5m以上(70英寸以上),京品电视,线上专供,4
sony,78英寸及以上,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sony,65英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,55英寸,无效能等级,全高清(1920×1080),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
Panasonic,48-50英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
酷开,39-45英寸,无效能等级,高清(1366×768),超薄,国产品牌,2m以下(≤32英寸),新品电视,线上专供,2
小米,32英寸及以下,无效能等级,高清(1366×768),大屏,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,1
三星,70-75英寸,无效能等级,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sony,78英寸及以上,无效能等级,高清(1366×768),曲面,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
VID^^,不选,无效能等级,高清(1366×768),激光电视,商业显示品牌,不选,新品电视,线上专供,2
VIH,32英寸及以下,无效能等级,不选,商业显示,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
华为,65英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,58-60英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
